row_index,row_id,phase,dataset,dataset_name,dataset_config,text_column,train_split,val_split,val_skip_tokens,model,layers,d_model,heads,ffn_dim,seq_len,batch_size,grad_accum,global_tokens_per_step,train_tokens,val_tokens,steps,eval_interval,eval_batches,seed,method,activation,optimizer,lr,min_lr,weight_decay,extra_args
0,E1_global_rational_optimizers_100m_dclm_m0_100m_seed1337_rlb_adamw,E1_global_rational_optimizers_100m,dclm,mlfoundations/dclm-baseline-1.0,none,text,train,train,210000000,M0,12,768,12,2048,256,16,2,32768,100000000,4000000,3050,50,10,1337,rlb_adamw,rlb_fused_global_rational,adamw,0.0003,0.00003,0.10,
1,E1_global_rational_optimizers_100m_dclm_m0_100m_seed1337_rlb_muon,E1_global_rational_optimizers_100m,dclm,mlfoundations/dclm-baseline-1.0,none,text,train,train,210000000,M0,12,768,12,2048,256,16,2,32768,100000000,4000000,3050,50,10,1337,rlb_muon,rlb_fused_global_rational,muon,0.0003,0.00003,0.10,--muon-momentum 0.95 --muon-ns-steps 5 --muon-adjust-lr-fn match_rms_adamw
2,E1_global_rational_optimizers_100m_dclm_m0_100m_seed1337_rlb_lion,E1_global_rational_optimizers_100m,dclm,mlfoundations/dclm-baseline-1.0,none,text,train,train,210000000,M0,12,768,12,2048,256,16,2,32768,100000000,4000000,3050,50,10,1337,rlb_lion,rlb_fused_global_rational,lion,0.0001,0.00001,0.10,
3,E1_global_rational_optimizers_100m_dclm_m0_100m_seed1337_rlb_soap,E1_global_rational_optimizers_100m,dclm,mlfoundations/dclm-baseline-1.0,none,text,train,train,210000000,M0,12,768,12,2048,256,16,2,32768,100000000,4000000,3050,50,10,1337,rlb_soap,rlb_fused_global_rational,soap_adamw,0.0003,0.00003,0.10,--soap-precondition-frequency 50 --no-soap-one-sided
4,E1_global_rational_optimizers_100m_dclm_m0_100m_seed1337_rlb_ademamix,E1_global_rational_optimizers_100m,dclm,mlfoundations/dclm-baseline-1.0,none,text,train,train,210000000,M0,12,768,12,2048,256,16,2,32768,100000000,4000000,3050,50,10,1337,rlb_ademamix,rlb_fused_global_rational,ademamix,0.0003,0.00003,0.10,--ademamix-alpha 5.0 --ademamix-beta3 0.9999
5,E1_global_rational_optimizers_100m_dclm_m0_100m_seed1337_rlb_came,E1_global_rational_optimizers_100m,dclm,mlfoundations/dclm-baseline-1.0,none,text,train,train,210000000,M0,12,768,12,2048,256,16,2,32768,100000000,4000000,3050,50,10,1337,rlb_came,rlb_fused_global_rational,adafactor_came,0.0003,0.00003,0.10,--came-confidence-scale 1.0
6,E1_global_rational_optimizers_100m_dclm_m0_100m_seed1337_rlb_schedulefree,E1_global_rational_optimizers_100m,dclm,mlfoundations/dclm-baseline-1.0,none,text,train,train,210000000,M0,12,768,12,2048,256,16,2,32768,100000000,4000000,3050,50,10,1337,rlb_schedulefree,rlb_fused_global_rational,schedule_free_adamw,0.0003,0.00003,0.10,--schedule-free-beta1 0.90 --schedule-free-warmup-steps 0
7,E1_global_rational_optimizers_100m_dclm_m0_100m_seed2027_rlb_adamw,E1_global_rational_optimizers_100m,dclm,mlfoundations/dclm-baseline-1.0,none,text,train,train,210000000,M0,12,768,12,2048,256,16,2,32768,100000000,4000000,3050,50,10,2027,rlb_adamw,rlb_fused_global_rational,adamw,0.0003,0.00003,0.10,
8,E1_global_rational_optimizers_100m_dclm_m0_100m_seed2027_rlb_muon,E1_global_rational_optimizers_100m,dclm,mlfoundations/dclm-baseline-1.0,none,text,train,train,210000000,M0,12,768,12,2048,256,16,2,32768,100000000,4000000,3050,50,10,2027,rlb_muon,rlb_fused_global_rational,muon,0.0003,0.00003,0.10,--muon-momentum 0.95 --muon-ns-steps 5 --muon-adjust-lr-fn match_rms_adamw
9,E1_global_rational_optimizers_100m_dclm_m0_100m_seed2027_rlb_lion,E1_global_rational_optimizers_100m,dclm,mlfoundations/dclm-baseline-1.0,none,text,train,train,210000000,M0,12,768,12,2048,256,16,2,32768,100000000,4000000,3050,50,10,2027,rlb_lion,rlb_fused_global_rational,lion,0.0001,0.00001,0.10,
10,E1_global_rational_optimizers_100m_dclm_m0_100m_seed2027_rlb_soap,E1_global_rational_optimizers_100m,dclm,mlfoundations/dclm-baseline-1.0,none,text,train,train,210000000,M0,12,768,12,2048,256,16,2,32768,100000000,4000000,3050,50,10,2027,rlb_soap,rlb_fused_global_rational,soap_adamw,0.0003,0.00003,0.10,--soap-precondition-frequency 50 --no-soap-one-sided
11,E1_global_rational_optimizers_100m_dclm_m0_100m_seed2027_rlb_ademamix,E1_global_rational_optimizers_100m,dclm,mlfoundations/dclm-baseline-1.0,none,text,train,train,210000000,M0,12,768,12,2048,256,16,2,32768,100000000,4000000,3050,50,10,2027,rlb_ademamix,rlb_fused_global_rational,ademamix,0.0003,0.00003,0.10,--ademamix-alpha 5.0 --ademamix-beta3 0.9999
12,E1_global_rational_optimizers_100m_dclm_m0_100m_seed2027_rlb_came,E1_global_rational_optimizers_100m,dclm,mlfoundations/dclm-baseline-1.0,none,text,train,train,210000000,M0,12,768,12,2048,256,16,2,32768,100000000,4000000,3050,50,10,2027,rlb_came,rlb_fused_global_rational,adafactor_came,0.0003,0.00003,0.10,--came-confidence-scale 1.0
13,E1_global_rational_optimizers_100m_dclm_m0_100m_seed2027_rlb_schedulefree,E1_global_rational_optimizers_100m,dclm,mlfoundations/dclm-baseline-1.0,none,text,train,train,210000000,M0,12,768,12,2048,256,16,2,32768,100000000,4000000,3050,50,10,2027,rlb_schedulefree,rlb_fused_global_rational,schedule_free_adamw,0.0003,0.00003,0.10,--schedule-free-beta1 0.90 --schedule-free-warmup-steps 0
14,E1_global_rational_optimizers_100m_dclm_m0_100m_seed3407_rlb_adamw,E1_global_rational_optimizers_100m,dclm,mlfoundations/dclm-baseline-1.0,none,text,train,train,210000000,M0,12,768,12,2048,256,16,2,32768,100000000,4000000,3050,50,10,3407,rlb_adamw,rlb_fused_global_rational,adamw,0.0003,0.00003,0.10,
15,E1_global_rational_optimizers_100m_dclm_m0_100m_seed3407_rlb_muon,E1_global_rational_optimizers_100m,dclm,mlfoundations/dclm-baseline-1.0,none,text,train,train,210000000,M0,12,768,12,2048,256,16,2,32768,100000000,4000000,3050,50,10,3407,rlb_muon,rlb_fused_global_rational,muon,0.0003,0.00003,0.10,--muon-momentum 0.95 --muon-ns-steps 5 --muon-adjust-lr-fn match_rms_adamw
16,E1_global_rational_optimizers_100m_dclm_m0_100m_seed3407_rlb_lion,E1_global_rational_optimizers_100m,dclm,mlfoundations/dclm-baseline-1.0,none,text,train,train,210000000,M0,12,768,12,2048,256,16,2,32768,100000000,4000000,3050,50,10,3407,rlb_lion,rlb_fused_global_rational,lion,0.0001,0.00001,0.10,
17,E1_global_rational_optimizers_100m_dclm_m0_100m_seed3407_rlb_soap,E1_global_rational_optimizers_100m,dclm,mlfoundations/dclm-baseline-1.0,none,text,train,train,210000000,M0,12,768,12,2048,256,16,2,32768,100000000,4000000,3050,50,10,3407,rlb_soap,rlb_fused_global_rational,soap_adamw,0.0003,0.00003,0.10,--soap-precondition-frequency 50 --no-soap-one-sided
18,E1_global_rational_optimizers_100m_dclm_m0_100m_seed3407_rlb_ademamix,E1_global_rational_optimizers_100m,dclm,mlfoundations/dclm-baseline-1.0,none,text,train,train,210000000,M0,12,768,12,2048,256,16,2,32768,100000000,4000000,3050,50,10,3407,rlb_ademamix,rlb_fused_global_rational,ademamix,0.0003,0.00003,0.10,--ademamix-alpha 5.0 --ademamix-beta3 0.9999
19,E1_global_rational_optimizers_100m_dclm_m0_100m_seed3407_rlb_came,E1_global_rational_optimizers_100m,dclm,mlfoundations/dclm-baseline-1.0,none,text,train,train,210000000,M0,12,768,12,2048,256,16,2,32768,100000000,4000000,3050,50,10,3407,rlb_came,rlb_fused_global_rational,adafactor_came,0.0003,0.00003,0.10,--came-confidence-scale 1.0
20,E1_global_rational_optimizers_100m_dclm_m0_100m_seed3407_rlb_schedulefree,E1_global_rational_optimizers_100m,dclm,mlfoundations/dclm-baseline-1.0,none,text,train,train,210000000,M0,12,768,12,2048,256,16,2,32768,100000000,4000000,3050,50,10,3407,rlb_schedulefree,rlb_fused_global_rational,schedule_free_adamw,0.0003,0.00003,0.10,--schedule-free-beta1 0.90 --schedule-free-warmup-steps 0
21,E1_global_rational_optimizers_100m_fineweb_edu_m0_100m_seed1337_rlb_adamw,E1_global_rational_optimizers_100m,fineweb_edu,HuggingFaceFW/fineweb-edu,sample-10BT,text,train,train,210000000,M0,12,768,12,2048,256,16,2,32768,100000000,4000000,3050,50,10,1337,rlb_adamw,rlb_fused_global_rational,adamw,0.0003,0.00003,0.10,
22,E1_global_rational_optimizers_100m_fineweb_edu_m0_100m_seed1337_rlb_muon,E1_global_rational_optimizers_100m,fineweb_edu,HuggingFaceFW/fineweb-edu,sample-10BT,text,train,train,210000000,M0,12,768,12,2048,256,16,2,32768,100000000,4000000,3050,50,10,1337,rlb_muon,rlb_fused_global_rational,muon,0.0003,0.00003,0.10,--muon-momentum 0.95 --muon-ns-steps 5 --muon-adjust-lr-fn match_rms_adamw
23,E1_global_rational_optimizers_100m_fineweb_edu_m0_100m_seed1337_rlb_lion,E1_global_rational_optimizers_100m,fineweb_edu,HuggingFaceFW/fineweb-edu,sample-10BT,text,train,train,210000000,M0,12,768,12,2048,256,16,2,32768,100000000,4000000,3050,50,10,1337,rlb_lion,rlb_fused_global_rational,lion,0.0001,0.00001,0.10,
24,E1_global_rational_optimizers_100m_fineweb_edu_m0_100m_seed1337_rlb_soap,E1_global_rational_optimizers_100m,fineweb_edu,HuggingFaceFW/fineweb-edu,sample-10BT,text,train,train,210000000,M0,12,768,12,2048,256,16,2,32768,100000000,4000000,3050,50,10,1337,rlb_soap,rlb_fused_global_rational,soap_adamw,0.0003,0.00003,0.10,--soap-precondition-frequency 50 --no-soap-one-sided
25,E1_global_rational_optimizers_100m_fineweb_edu_m0_100m_seed1337_rlb_ademamix,E1_global_rational_optimizers_100m,fineweb_edu,HuggingFaceFW/fineweb-edu,sample-10BT,text,train,train,210000000,M0,12,768,12,2048,256,16,2,32768,100000000,4000000,3050,50,10,1337,rlb_ademamix,rlb_fused_global_rational,ademamix,0.0003,0.00003,0.10,--ademamix-alpha 5.0 --ademamix-beta3 0.9999
26,E1_global_rational_optimizers_100m_fineweb_edu_m0_100m_seed1337_rlb_came,E1_global_rational_optimizers_100m,fineweb_edu,HuggingFaceFW/fineweb-edu,sample-10BT,text,train,train,210000000,M0,12,768,12,2048,256,16,2,32768,100000000,4000000,3050,50,10,1337,rlb_came,rlb_fused_global_rational,adafactor_came,0.0003,0.00003,0.10,--came-confidence-scale 1.0
